product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
275bb310,watches_gifts,51,736,9,3089,26,49,18
5b037f38,computers_accessories,48,521,2,9318,16,29,14
e56f8c87,garden_tools,23,964,1,6328,13,42,41
df410c8f,watches_gifts,40,122,2,6571,38,21,29
19014209,health_beauty,14,674,7,2963,23,24,20
b4305394,furniture_decor,44,242,3,1277,12,48,24
9b481bfa,garden_tools,32,764,2,4860,33,11,41
d5d9aebe,health_beauty,38,244,7,111,46,38,37
94dfc64f,auto,52,324,2,5352,25,19,31
e256942c,garden_tools,20,602,3,4499,13,11,26
81dbafcf,auto,27,920,7,8334,33,20,35
b2673a73,computers_accessories,56,715,4,9235,43,22,16
cf112ebc,health_beauty,21,203,1,5545,39,19,35
0deada69,furniture_decor,18,138,5,6670,27,23,34
87b307f5,watches_gifts,19,297,9,9296,28,27,19
ae0f5524,telephony,53,745,8,8312,40,18,28
ffe98fb2,sports_leisure,26,678,9,506,28,48,20
6502b540,bed_bath_table,47,490,9,9306,28,37,22
176a9f25,furniture_decor,16,278,7,4531,31,12,17
d06b3a63,health_beauty,55,653,4,5343,33,29,49
d9ea54ef,telephony,22,547,5,6642,21,15,13
7f779927,furniture_decor,49,599,1,7036,39,36,40
97385578,health_beauty,51,114,1,9006,47,11,37
4589144e,housewares,18,722,3,4246,40,38,20
23e40a8f,housewares,59,768,8,240,45,47,10
ba4ae1ef,auto,36,388,2,4982,28,12,47
0d5d2bc4,furniture_decor,11,577,4,6112,45,25,33
ce0b5c90,housewares,14,330,2,1063,39,39,40
6b99e29d,health_beauty,38,519,5,7251,42,49,35
798444b8,auto,46,256,9,8664,27,11,14
eb1ad0e1,health_beauty,47,649,1,3710,37,26,29
81766bcf,auto,28,540,5,9984,20,21,20
49052402,furniture_decor,17,196,9,6994,42,44,42
b7ab2de3,telephony,57,510,1,7411,26,10,47
79804949,watches_gifts,54,388,9,205,15,24,36
3efb1588,garden_tools,10,353,8,5639,13,35,43
daca70db,telephony,31,295,4,9973,29,46,24
46aec63d,computers_accessories,26,697,5,6887,36,30,41
457cb1c2,health_beauty,16,933,5,2237,24,40,30
97cfd068,computers_accessories,34,621,6,4545,15,34,14
1c88cf70,telephony,54,616,7,3630,23,32,15
aa3475ce,auto,13,734,8,1386,20,33,47
e237c3e6,garden_tools,45,941,8,7152,48,47,31
dd86c49f,garden_tools,15,964,2,3754,18,37,27
c2a7af2a,bed_bath_table,40,217,9,7202,35,30,23
73bdc762,garden_tools,28,905,7,2459,25,27,19
b15e075c,watches_gifts,53,258,4,8205,14,45,22
0b502c6a,garden_tools,48,914,4,8736,19,44,40
78db85d2,telephony,36,327,8,6541,12,18,39
09e1dc5f,bed_bath_table,19,976,4,5147,22,47,12
a0f95b64,telephony,35,315,6,8327,39,39,39
239148df,telephony,28,795,5,5303,15,43,15
58808e79,sports_leisure,48,114,3,9767,26,41,38
d6f5e7f4,bed_bath_table,12,256,2,1898,28,12,17
2f8dbd79,telephony,54,747,9,9700,44,12,42
03715a61,sports_leisure,22,360,9,5391,35,37,26
4bbadaeb,sports_leisure,59,256,1,5595,14,24,20
a5f865e2,bed_bath_table,37,146,3,6384,38,32,22
7ed1283e,computers_accessories,29,423,8,7385,46,49,20
59c6855b,auto,37,943,6,1400,29,20,40
051f76c2,watches_gifts,17,784,5,6969,30,41,37
ecf80d71,auto,50,229,5,9535,19,45,15
f7eab29f,garden_tools,48,510,6,3197,14,42,25
ff4acc5e,watches_gifts,10,194,7,4716,45,33,13
b61b8324,garden_tools,12,726,1,109,15,48,44
84f6f25e,telephony,22,854,9,5852,35,43,35
dd524de3,health_beauty,37,391,3,9952,13,37,21
7b3bc82e,bed_bath_table,58,893,4,6395,48,46,20
1e9afbc6,watches_gifts,34,910,1,4915,48,16,46
fd29b273,watches_gifts,42,382,3,1172,44,13,34
7ba033d5,telephony,47,168,2,3325,10,46,27
d96a25fc,computers_accessories,15,759,2,1416,33,10,28
07d31f08,sports_leisure,53,110,1,5799,45,10,32
15854b16,telephony,54,353,8,6907,15,29,47
a4cc70ff,housewares,41,941,3,6774,40,28,27
6016ddc1,sports_leisure,54,971,3,3783,29,38,35
34734614,bed_bath_table,56,649,6,7327,33,19,15
a5c4c351,sports_leisure,30,233,8,3373,34,27,13
b1e2187e,computers_accessories,25,811,9,7100,45,37,38
a0a8781f,sports_leisure,30,122,9,245,30,44,43
f5153864,bed_bath_table,20,914,4,5110,39,40,26
33eccda0,computers_accessories,46,445,5,3140,33,36,25
fd9d1a8c,auto,45,401,2,9754,39,20,11
b8caf64c,watches_gifts,44,462,9,9876,31,47,43
e34a8487,watches_gifts,28,495,8,582,37,14,17
d4986c37,garden_tools,29,317,3,3279,16,17,22
63d73ef7,auto,27,240,9,1349,44,43,17
c87fb338,auto,56,715,3,730,37,21,39
30fb7ca7,sports_leisure,50,309,9,8953,23,47,41
a4ec77b1,watches_gifts,58,722,2,2952,19,10,45
1792827c,bed_bath_table,23,715,9,1087,25,40,39
591fed2c,furniture_decor,24,927,8,7722,25,13,10
964d9148,furniture_decor,40,782,9,7427,40,14,48
03706ade,computers_accessories,10,559,5,9838,34,39,26
16cf8ae8,watches_gifts,12,455,2,8941,22,33,29
dd5cf2a0,watches_gifts,25,423,8,9260,15,12,33
675b3cbf,furniture_decor,32,232,6,1200,18,20,31
79a42933,watches_gifts,20,987,8,6752,45,13,38
b124337a,sports_leisure,21,904,5,8732,29,35,31
6da265a9,housewares,19,939,2,7521,27,36,18
fe6d693f,health_beauty,41,226,6,5116,30,36,46
646e5c19,auto,25,205,5,869,13,15,19
d4d390ec,garden_tools,17,703,5,1443,42,24,45
a45374ef,computers_accessories,47,898,1,4458,36,39,46
07a5e35a,housewares,21,477,2,9869,16,46,37
aea8df35,furniture_decor,33,150,8,6880,15,46,37
385cae5b,auto,37,128,3,6702,24,46,30
f7a0c352,watches_gifts,17,561,3,2449,27,44,33
96de232f,garden_tools,37,395,8,5799,41,32,49
b327f5b3,watches_gifts,45,396,8,1341,20,15,11
ac9d25dc,bed_bath_table,35,825,2,1225,29,13,17
4f66b683,bed_bath_table,17,878,8,9482,33,27,36
8cb7dee8,garden_tools,59,506,1,6864,24,18,31
19c33d19,garden_tools,37,868,6,5201,16,38,46
ffa0fe42,furniture_decor,37,913,8,7943,30,22,36
ca737cf4,garden_tools,46,712,3,172,35,26,38
a4d92353,sports_leisure,50,504,8,5572,23,41,12
c07bc85b,watches_gifts,45,445,1,5289,46,31,22
25e8e9d0,housewares,36,721,9,2572,30,13,19
7b72f050,telephony,26,519,9,807,27,14,45
e01d6e05,garden_tools,18,281,5,1904,14,46,18
ebe11d69,computers_accessories,42,924,4,6804,12,22,36
ef4d75a2,bed_bath_table,29,100,6,3813,32,43,43
b61d752f,sports_leisure,22,930,7,5151,35,31,10
8f86fffc,auto,37,666,5,2575,46,32,41
32992893,telephony,57,470,9,3710,33,12,34
173de56d,housewares,38,760,3,4355,28,43,38
a2eb2053,telephony,22,530,7,7497,34,41,16
479b7a62,garden_tools,55,408,5,1835,30,30,12
9b028803,furniture_decor,44,236,7,9877,21,30,29
eaf09bf2,bed_bath_table,15,301,2,8358,42,20,29
d58037ff,bed_bath_table,27,535,4,8079,13,48,39
acf39392,auto,14,412,2,2528,16,13,44
e4ee2fad,furniture_decor,56,216,7,7526,31,10,44
4c492c77,watches_gifts,34,765,2,8633,42,37,48
179bd7d2,health_beauty,11,902,1,5349,26,33,36
f0fa7368,sports_leisure,19,674,9,5391,33,44,35
a2c79ce6,bed_bath_table,39,343,1,2917,43,22,23
0de23cb0,computers_accessories,59,636,8,9524,37,43,26
e33d6924,bed_bath_table,54,701,2,3974,48,20,27
46ec6a2f,telephony,14,174,8,9786,31,45,38
aad26c74,bed_bath_table,42,905,3,4311,26,26,29
4dceac83,bed_bath_table,10,485,6,761,43,44,36
e2d8fb6a,health_beauty,27,309,3,3474,15,27,27
fa76f6ba,health_beauty,41,574,7,9308,15,49,13
26e11775,housewares,56,517,9,307,43,31,10
6d25ee58,watches_gifts,58,446,2,2765,10,33,10
b3824fcb,computers_accessories,20,628,5,2593,19,28,35
f913184c,bed_bath_table,30,739,6,6913,30,46,29
cd775c56,bed_bath_table,35,975,4,732,14,48,32
af286d24,sports_leisure,34,862,4,3183,11,30,19
6dc89fae,health_beauty,31,278,4,3819,31,17,20
7469ba11,computers_accessories,36,281,2,7223,11,37,14
b2ed138c,auto,58,763,4,1779,19,14,10
fbb41c14,housewares,22,124,1,336,43,26,26
ffa5a956,watches_gifts,42,279,6,7546,25,46,31
2082d9d2,furniture_decor,43,809,1,4543,48,45,43
d69a9a23,watches_gifts,50,600,6,6870,31,28,38
0f4d7fa4,telephony,44,955,1,9832,21,36,13
85e2c5d9,bed_bath_table,10,260,6,6199,33,43,14
507392e6,housewares,30,276,8,8655,49,20,20
ea4a85f7,telephony,57,384,2,2468,47,21,30
7cf68268,computers_accessories,15,162,2,385,19,30,44
d9bed1eb,furniture_decor,37,761,4,248,44,20,21
84b3928b,health_beauty,26,765,3,4137,41,48,35
83ce8d7f,housewares,14,255,4,6649,16,37,28
d2c057d7,housewares,40,981,7,7221,30,14,16
8bf4bda1,bed_bath_table,14,568,1,4995,29,26,16
337e4c9d,garden_tools,47,148,6,5380,35,29,35
98b1abf5,housewares,12,948,3,1112,13,21,49
3c62cc15,sports_leisure,32,183,7,9815,31,15,14
bc10f1a6,furniture_decor,46,460,2,2885,24,26,30
579f8f38,furniture_decor,46,788,2,3825,49,28,23
0b7e335b,sports_leisure,19,247,4,4676,30,35,13
c8a5bb8c,auto,19,729,1,5882,24,41,32
e49271b4,sports_leisure,28,441,3,6357,31,15,29
f0766c58,sports_leisure,26,575,9,9893,37,45,24
e8915011,furniture_decor,30,162,7,2508,23,47,38
d45a0f2d,watches_gifts,23,800,7,440,36,20,17
5a1c1530,furniture_decor,18,459,4,2917,49,42,28
9cd99410,garden_tools,55,660,2,2596,37,33,48
83cfeab2,bed_bath_table,10,426,4,6062,35,32,37
4c8b7456,telephony,54,868,6,5399,11,24,36
dbf83b6b,watches_gifts,22,835,3,7674,34,36,13
804a783b,health_beauty,13,240,1,1789,12,20,24
b1cc08e0,telephony,10,314,8,3367,17,26,44
3eb38518,bed_bath_table,58,534,5,4506,42,23,46
67ae5ce4,garden_tools,49,990,5,8553,44,36,10
77bc82f2,garden_tools,41,822,4,1542,15,27,12
b7f8c26d,health_beauty,43,417,6,8697,48,37,33
8da5e0b6,watches_gifts,37,131,3,4537,32,13,36
dee1e0c5,auto,40,769,9,5535,34,16,49
abb4e8a1,sports_leisure,17,384,5,8535,28,44,45
f5040716,watches_gifts,48,404,3,4207,14,18,43
f6cd0a4d,auto,35,528,1,660,20,17,38
cabc28d5,garden_tools,43,576,6,8885,21,26,33
5e5d06a2,furniture_decor,12,385,2,5648,19,26,33
f66f78b7,bed_bath_table,59,243,3,1926,17,42,13
cec4fb47,health_beauty,21,523,1,7729,33,41,12
1719139b,bed_bath_table,10,118,9,8425,37,17,43
06108e89,computers_accessories,53,117,8,3238,45,28,32
a127fb43,computers_accessories,14,868,2,7793,46,47,32
14e8ac65,watches_gifts,39,689,8,8364,30,12,14
db7ee15f,garden_tools,39,470,9,7942,17,14,40
ad8d092f,garden_tools,26,274,1,6821,18,22,15
30592970,sports_leisure,57,293,5,7102,24,40,46
1f6c563e,sports_leisure,56,601,8,4325,49,25,19
f9a59579,sports_leisure,32,212,2,3078,27,41,49
a80408ce,furniture_decor,24,213,4,7473,29,31,16
30aef8b8,telephony,46,321,7,6007,15,38,48
1e866d17,housewares,30,777,3,6197,21,31,47
23a926d8,telephony,23,930,5,5756,11,12,30
ca3f9970,bed_bath_table,11,743,8,9084,16,19,29
b2f0edf2,telephony,20,996,3,4359,25,30,12
84329c95,furniture_decor,48,363,4,8386,12,25,31
a1372f50,bed_bath_table,47,154,9,6001,12,21,13
b87fd63c,telephony,43,970,7,9425,36,11,37
f092aab0,furniture_decor,47,742,1,5017,49,33,21
8892d1d2,housewares,59,899,4,8529,47,44,47
c92bce8f,telephony,43,877,4,2630,42,39,45
ec774cd8,furniture_decor,27,557,9,2060,37,39,14
47ec1d2b,sports_leisure,39,977,6,7145,10,44,22
369f091e,garden_tools,24,261,9,1148,17,28,32
46c15051,sports_leisure,36,479,6,5872,46,17,39
76a498f4,garden_tools,43,186,6,2629,41,35,46
33003285,health_beauty,47,154,5,3064,46,49,34
526da5b1,health_beauty,42,575,5,7237,13,16,36
84db25bf,health_beauty,33,899,2,1063,39,39,23
14ce9de4,housewares,24,277,8,636,15,16,45
21337267,sports_leisure,39,490,8,7440,28,12,48
33245b0c,garden_tools,51,448,1,7279,41,10,25
2ff7eef7,furniture_decor,26,107,8,8067,18,45,31
abb42609,bed_bath_table,14,932,5,8834,21,34,30
d414418d,furniture_decor,38,412,2,945,20,46,30
874bac3e,bed_bath_table,13,858,2,5877,25,10,17
5552af64,computers_accessories,19,934,6,3136,10,24,25
c3e52a1d,furniture_decor,26,542,9,6047,30,46,40
b1eadd47,telephony,19,866,1,2594,39,22,19
9a4b5684,telephony,26,427,6,2819,22,49,41
622da96f,watches_gifts,29,153,9,1984,43,17,43
0d4f14be,sports_leisure,33,860,8,4449,13,14,18
1efe4014,bed_bath_table,14,338,6,5279,37,18,26
343bb9d6,bed_bath_table,43,328,3,6710,47,10,20
ebf07848,sports_leisure,15,678,8,6530,40,45,41
3517bafa,housewares,11,150,9,7254,36,44,19
b521971e,watches_gifts,22,708,1,6588,14,11,31
677465c8,housewares,52,703,9,4837,34,49,26
2269c4dd,housewares,52,363,6,6625,12,32,13
bbe309dd,housewares,57,517,6,3950,42,18,34
453cd56b,sports_leisure,20,902,4,789,13,43,30
efaf5996,housewares,56,195,1,5275,34,23,46
f4b984b2,telephony,32,187,8,8748,29,13,47
42220161,health_beauty,25,177,2,5178,43,39,10
f035dd6e,computers_accessories,40,387,1,5548,35,40,34
ba991e10,bed_bath_table,20,219,2,1279,14,47,45
2016e8c0,bed_bath_table,25,913,1,9174,44,20,26
8b9e19ff,computers_accessories,17,590,1,6506,37,44,33
ce118617,sports_leisure,13,551,9,8691,38,17,11
4c0b1c75,furniture_decor,49,599,1,7007,18,12,49
0b1f8d64,sports_leisure,13,264,4,8900,47,23,24
301b2fb7,bed_bath_table,34,281,6,1738,15,22,41
dd121367,bed_bath_table,12,568,7,5771,28,41,48
17b55e93,computers_accessories,41,834,2,7028,20,43,15
b81d663e,housewares,12,922,6,1482,11,28,10
99fe0983,sports_leisure,36,106,7,1503,18,47,32
91fb2ced,garden_tools,38,429,2,9111,30,25,48
15719040,computers_accessories,41,874,2,3392,33,11,26
0bb0bcbd,telephony,59,772,7,9111,43,49,43
72305100,bed_bath_table,28,250,1,519,31,26,38
0c7d5c0d,computers_accessories,30,184,8,4617,12,43,18
e384dc23,sports_leisure,14,246,3,3402,21,25,22
20d3e294,bed_bath_table,27,723,6,7957,37,47,15
741f3878,furniture_decor,37,480,9,9800,39,11,15
a1ff7480,computers_accessories,51,647,6,7970,35,11,29
1ebfd578,watches_gifts,31,384,9,5793,30,35,12
dc1f3972,bed_bath_table,30,799,7,867,37,22,26
810bbb39,sports_leisure,15,181,9,2144,35,40,21
4a16a9b2,health_beauty,10,613,2,1649,42,43,10
1b0c3530,garden_tools,14,996,8,6240,30,48,26
a8759dc8,auto,50,914,8,3816,44,12,12
732fef27,housewares,21,808,2,4581,43,17,35
861b3ce2,auto,35,622,4,7998,27,32,24
7a224966,sports_leisure,55,845,7,6648,20,23,45
26c3d826,telephony,43,485,4,2393,32,36,41
b1c8aeb7,telephony,58,806,4,4937,31,38,41
14b98e41,health_beauty,23,570,6,7858,26,48,13
bd1f1f4c,housewares,35,218,6,6893,14,48,27
365315d9,watches_gifts,54,495,3,7738,20,10,28
1da4bd30,health_beauty,36,631,9,8093,39,26,44
86b13fa3,auto,18,360,2,6107,24,39,49
0477d12a,health_beauty,35,904,6,5642,36,22,23
742b6473,auto,56,355,7,9192,44,30,42
140ca47e,bed_bath_table,31,833,9,6456,42,28,23
79a54c6a,telephony,56,325,3,8533,29,28,43
750350d8,bed_bath_table,39,152,3,7480,25,34,13
419673b9,garden_tools,52,966,7,2485,43,31,33
21061182,housewares,57,599,4,4368,11,40,38
c898aa01,watches_gifts,26,605,8,771,44,26,28
cdc4c018,auto,35,953,7,263,49,32,15
9571a4b9,watches_gifts,45,463,5,8756,37,41,42
f55f8f48,auto,10,379,7,4692,48,19,49
c36c1712,sports_leisure,17,692,3,4895,15,19,28
0e7cc150,health_beauty,58,813,2,4898,18,45,10
fba64ffd,garden_tools,44,257,6,6136,29,17,14
3386bf02,telephony,24,731,2,2455,10,29,36
2e74541a,auto,56,158,3,5987,17,41,25
4d223d3c,watches_gifts,31,826,6,8061,32,23,15
26e8d692,garden_tools,23,227,5,5927,12,37,49
43646648,furniture_decor,35,835,8,8837,13,33,22
b2e5ceac,furniture_decor,37,820,9,4819,34,24,44
53cc4a10,bed_bath_table,32,981,3,693,47,31,28
d53cabe3,telephony,23,214,3,4939,24,39,21
004d4636,sports_leisure,33,308,3,7494,30,13,25
6096faed,watches_gifts,11,625,6,9751,44,22,19
796f07a5,health_beauty,54,620,1,3593,23,32,34
97575e05,health_beauty,35,651,7,6264,45,17,29
089642f6,watches_gifts,23,336,1,2772,21,27,40
0b95b346,housewares,16,380,5,4300,26,21,13
c46d0109,sports_leisure,12,458,8,116,48,40,32
5194ad1a,garden_tools,56,300,4,3291,18,23,11
a7664c7d,auto,32,857,5,492,44,43,31
6a6d679d,housewares,55,377,4,8716,22,27,46
70199d84,auto,52,334,4,6372,24,43,17
602b55d7,auto,56,593,8,671,27,20,16
97a673c8,housewares,54,103,2,3731,42,21,23
a4d8f4ec,bed_bath_table,27,765,1,6272,15,24,12
81898926,furniture_decor,47,541,3,9412,36,40,25
45326e3f,auto,44,128,9,7277,32,38,28
3c194590,housewares,24,208,4,8533,36,35,27
c9faca17,housewares,34,709,5,3997,43,27,25
b4ae0a98,computers_accessories,46,826,2,8223,47,41,17
02eb7d58,bed_bath_table,37,904,4,2379,23,31,42
d554f362,telephony,19,174,2,9080,45,47,21
864efcb0,computers_accessories,48,937,2,7551,17,26,20
1ca8e41b,computers_accessories,26,245,4,9006,44,32,14
b21e3120,watches_gifts,48,227,6,875,28,33,36
e0b90abb,furniture_decor,31,952,7,6969,39,17,21
f0d91fa3,housewares,35,141,3,2347,23,15,26
c451f5e2,furniture_decor,53,455,3,7188,29,14,15
9c04b1ec,sports_leisure,34,140,6,178,34,38,42
ab313603,watches_gifts,26,133,3,8180,49,37,14
0010c2fe,telephony,22,116,2,7199,33,20,37
1bff1a8c,furniture_decor,29,776,8,4026,23,10,23
b95f3fdf,health_beauty,34,252,5,9147,35,28,14
819f6726,auto,13,477,1,7440,47,18,42
e2f99ef5,sports_leisure,19,687,3,7183,32,36,28
22b3d235,bed_bath_table,12,698,8,6330,31,43,31
ffa23f58,telephony,50,728,4,9323,28,13,14
543b3a32,sports_leisure,54,973,7,5040,12,45,11
cd6143ea,auto,27,441,2,3371,28,27,39
4d2c57f6,watches_gifts,56,126,7,3556,18,24,48
531f5fa7,auto,45,924,5,7888,37,22,13
0d4ffb87,computers_accessories,56,386,5,8699,29,28,42
e8a04814,auto,31,745,6,7750,16,15,22
35e4cb32,computers_accessories,43,830,9,2811,23,21,29
5449ea46,watches_gifts,56,267,6,1768,18,46,16
2bc19be5,garden_tools,17,709,8,247,28,26,24
da6e8a9b,computers_accessories,49,367,7,6520,23,32,32
6bbc7021,bed_bath_table,58,848,9,465,47,35,23
8f8402ce,auto,53,920,4,9966,45,38,32
662fc2a5,auto,28,554,2,4631,49,42,28
63728634,bed_bath_table,51,784,7,5430,26,36,38
efe58b44,health_beauty,50,500,6,5610,39,34,29
75fd4c10,housewares,46,575,1,8854,18,19,38
3726cc61,garden_tools,15,801,9,9064,42,32,33
b33edcc7,telephony,35,733,9,6593,34,30,27
4a166bf0,computers_accessories,43,657,2,5539,23,30,19
d400d501,bed_bath_table,54,675,3,9865,20,22,17
55038fe2,watches_gifts,15,229,5,6611,44,46,35
576b6874,computers_accessories,46,921,5,7604,23,42,38
eed96f09,housewares,42,462,1,1346,39,33,19
a5d3f66d,watches_gifts,31,804,8,3939,13,20,26
65b6ef7a,sports_leisure,30,918,8,8651,13,26,11
0f022a88,auto,15,792,4,2476,37,13,15
ea1f8042,sports_leisure,15,391,7,3109,17,34,14
cddc7b75,computers_accessories,57,470,3,9254,11,39,37
e0e01f58,housewares,13,893,6,1927,31,18,14
8990aa61,garden_tools,39,128,9,7079,25,30,27
c14c2565,computers_accessories,20,248,1,9905,38,29,35
0840b2f6,bed_bath_table,39,878,5,9932,39,28,29
ffa1f70e,furniture_decor,40,395,4,8669,21,28,36
baf95375,computers_accessories,33,110,8,4385,44,21,21
b404910a,auto,18,611,1,7010,20,46,16
20c82e51,auto,12,775,9,8661,30,26,12
06c13985,computers_accessories,40,212,6,2296,30,46,19
0db194da,watches_gifts,49,286,4,3847,14,48,43
fd399d3f,furniture_decor,46,906,9,8943,29,37,34
ed8c7d6f,bed_bath_table,45,843,5,6078,46,44,44
35c5b2f8,computers_accessories,33,326,5,5707,12,27,25
03b8d8ba,watches_gifts,40,409,5,869,42,23,11
7122197c,auto,15,197,1,880,18,44,33
c6773b2b,auto,11,154,1,6403,18,16,19
2deb52f2,housewares,29,722,8,4083,13,22,47
f6143d5b,computers_accessories,37,763,8,9603,44,27,31
b9745c32,furniture_decor,20,857,6,8814,26,46,35
b85caafc,health_beauty,13,505,4,621,43,22,48
8f11fcf0,furniture_decor,24,168,2,9227,33,45,36
d218870d,auto,15,411,2,7669,41,40,38
e3f461e3,auto,58,388,9,5884,10,11,47
081be4d1,sports_leisure,39,861,5,4683,17,25,29
0b873518,auto,47,647,4,6046,32,18,36
0db1a5ea,bed_bath_table,11,850,1,5041,49,18,29
ae2bd5d6,telephony,24,247,7,6367,21,47,28
898892b7,computers_accessories,20,566,3,7228,21,20,29
ac9c63b6,furniture_decor,17,838,6,2561,24,31,44
aad67ea5,telephony,35,343,5,785,28,42,11
272863cf,watches_gifts,54,590,5,2260,35,45,39
af8f94ee,health_beauty,53,948,5,7131,38,32,43
1b9d7f55,bed_bath_table,14,606,1,9859,31,43,31
34384d23,furniture_decor,15,464,1,5441,49,18,12
d5657d48,telephony,35,581,3,138,30,33,15
b80eb1a1,health_beauty,13,300,4,4975,47,17,24
d3487b0c,sports_leisure,28,253,5,1356,29,16,36
a81b9a61,bed_bath_table,29,549,2,7797,38,45,19
fbae8b7e,bed_bath_table,42,600,8,2296,13,27,18
0558b9dd,sports_leisure,29,172,2,7265,16,12,42
96967213,computers_accessories,58,812,9,401,37,37,41
89cf41e1,sports_leisure,21,395,2,7627,37,15,15
c1997843,bed_bath_table,56,116,9,6481,13,30,45
0b7ac9e0,bed_bath_table,10,740,7,746,31,37,11
c9610a20,telephony,35,316,8,8889,21,49,38
a799b7d2,auto,23,160,2,8953,12,10,13
6fea26cd,health_beauty,47,715,7,4430,31,45,10
d9027657,sports_leisure,46,141,6,9660,11,30,28
55e6c6a5,health_beauty,20,124,4,7103,33,44,35
a45b8c85,sports_leisure,45,138,7,3637,43,22,34
a40970e9,watches_gifts,22,902,4,4658,36,19,19
f2d5a45e,bed_bath_table,52,230,2,6679,10,19,24
f0578d49,auto,12,597,7,8574,17,22,31
b426fb84,telephony,42,328,8,9778,32,46,30
b70e06f1,auto,15,207,2,4182,47,47,31
3bb56b00,auto,59,271,5,4283,15,33,45
92028873,auto,19,534,1,8752,31,11,43
e0639b9b,health_beauty,14,577,7,3854,34,31,39
b7e09b7b,sports_leisure,32,201,8,1824,27,26,34
58e40345,garden_tools,19,965,6,1476,26,45,37
865e88d7,watches_gifts,53,623,5,8806,21,23,10
39cdb41d,furniture_decor,11,374,6,8994,15,19,13
2434d7e9,auto,22,712,2,1753,35,44,16
d737a7ea,computers_accessories,49,143,1,2166,36,34,18
d3c419f1,health_beauty,11,916,7,122,17,12,45
9fc805ba,telephony,29,116,7,2560,28,47,28
eb354476,furniture_decor,10,429,2,6026,10,26,10
d1c6bef6,garden_tools,46,668,2,6351,38,21,19
5602319e,computers_accessories,18,922,1,9596,44,33,45
de6426fe,garden_tools,26,596,8,7395,49,38,18
36e830ef,furniture_decor,18,914,8,3400,23,34,41
982d53cd,auto,20,111,1,6379,44,45,41
a6aaaf27,computers_accessories,24,417,8,8653,29,35,15
8a46dc93,garden_tools,33,691,9,7453,22,47,47
f8c6bac7,telephony,47,315,4,3827,47,10,26
2ebafd7d,sports_leisure,44,438,1,6372,17,29,19
190fd57b,bed_bath_table,39,875,1,6095,29,37,36
03f01a23,sports_leisure,40,760,3,9576,42,25,44
8e1a7023,furniture_decor,58,180,5,614,35,26,30
f1803c5b,health_beauty,14,826,5,548,48,49,34
71808bff,bed_bath_table,53,584,9,6119,30,37,37
ea7a8b41,watches_gifts,59,473,2,5443,18,21,24
cae0b89b,telephony,23,809,2,8133,33,36,13
428e3978,watches_gifts,20,299,6,2620,46,39,38
ab12b3b8,computers_accessories,18,636,9,3181,26,43,18
1ec31fb7,bed_bath_table,43,565,1,1528,33,46,36
542cbb30,watches_gifts,21,188,9,4067,30,15,35
dd31d64a,watches_gifts,44,367,9,6545,48,16,28
89f60b65,garden_tools,44,754,9,9214,48,41,37
9196364e,sports_leisure,10,670,5,2259,22,41,26
