order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
742663e5,1b2d546a,processing,2018-05-15 21:00:00,2018-05-15 22:00:00,2018-05-17 21:00:00,,2018-06-05 21:00:00
9b56e087,943fbd3b,delivered,2017-07-04 21:00:00,2017-07-04 22:00:00,2017-07-05 21:00:00,2017-07-07 21:00:00,2017-07-24 21:00:00
3f61583e,bf37871a,delivered,2017-04-06 09:00:00,2017-04-06 09:00:00,2017-04-07 09:00:00,2017-04-16 09:00:00,2017-04-25 09:00:00
c25b4502,0144e65b,delivered,2017-11-28 23:00:00,2017-11-29 01:00:00,2017-11-30 23:00:00,2017-12-11 23:00:00,2017-12-21 23:00:00
cce6bd69,71cc3b36,delivered,2018-03-04 01:00:00,2018-03-04 05:00:00,2018-03-06 01:00:00,2018-03-15 01:00:00,2018-03-17 01:00:00
ca8c202f,27247e41,delivered,2017-05-16 21:00:00,2017-05-17 01:00:00,2017-05-18 21:00:00,2017-05-24 21:00:00,2017-06-08 21:00:00
2209c646,5916306b,delivered,2017-03-20 04:00:00,2017-03-20 05:00:00,2017-03-21 04:00:00,2017-04-01 04:00:00,2017-04-03 04:00:00
9c099ccd,24d7d9f1,delivered,2018-02-09 01:00:00,2018-02-09 03:00:00,2018-02-11 01:00:00,2018-02-18 01:00:00,2018-02-26 01:00:00
0ba049cb,ff69d0f1,delivered,2017-12-09 17:00:00,2017-12-09 18:00:00,2017-12-11 17:00:00,2017-12-18 17:00:00,2017-12-19 17:00:00
c1791551,06f31ab1,delivered,2017-12-19 06:00:00,2017-12-19 07:00:00,2017-12-20 06:00:00,2017-12-22 06:00:00,2018-01-12 06:00:00
75843185,a23a4fd7,delivered,2017-01-19 12:00:00,2017-01-19 12:00:00,2017-01-20 12:00:00,2017-01-26 12:00:00,2017-02-04 12:00:00
d10e68c3,d7db694a,delivered,2017-09-12 17:00:00,2017-09-12 17:00:00,2017-09-14 17:00:00,2017-09-25 17:00:00,2017-10-03 17:00:00
e0828aea,90a593d4,delivered,2017-08-30 22:00:00,2017-08-30 23:00:00,2017-09-01 22:00:00,2017-09-04 22:00:00,2017-09-14 22:00:00
5df4921c,bc845f79,delivered,2018-06-27 19:00:00,2018-06-27 20:00:00,2018-06-29 19:00:00,2018-07-05 19:00:00,2018-07-16 19:00:00
28699244,b355630f,delivered,2017-11-27 08:00:00,2017-11-27 11:00:00,2017-11-28 08:00:00,2017-12-03 08:00:00,2017-12-21 08:00:00
d48eb311,4343210c,delivered,2017-08-14 23:00:00,2017-08-15 01:00:00,2017-08-15 23:00:00,2017-08-25 23:00:00,2017-09-05 23:00:00
513ec267,68ed5c01,delivered,2017-12-07 03:00:00,2017-12-07 06:00:00,2017-12-08 03:00:00,2017-12-18 03:00:00,2017-12-31 03:00:00
fcd5c321,d40525b1,delivered,2018-05-10 06:00:00,2018-05-10 07:00:00,2018-05-12 06:00:00,2018-05-21 06:00:00,2018-05-31 06:00:00
345efede,fdac5fe4,delivered,2018-07-15 00:00:00,2018-07-15 00:00:00,2018-07-17 00:00:00,2018-07-21 00:00:00,2018-07-28 00:00:00
7ef88430,5b7c0291,delivered,2018-07-17 10:00:00,2018-07-17 14:00:00,2018-07-19 10:00:00,2018-07-29 10:00:00,2018-08-07 10:00:00
8f418582,54364084,delivered,2017-08-27 07:00:00,2017-08-27 09:00:00,2017-08-28 07:00:00,2017-08-31 07:00:00,2017-09-18 07:00:00
d0bdcb94,0e3fd083,delivered,2018-07-31 17:00:00,2018-07-31 18:00:00,2018-08-01 17:00:00,2018-08-14 17:00:00,2018-08-12 17:00:00
eaedb291,c1ea40f8,delivered,2018-02-07 10:00:00,2018-02-07 13:00:00,2018-02-09 10:00:00,2018-02-13 10:00:00,2018-02-28 10:00:00
0dadb101,9e73962a,delivered,2017-05-06 11:00:00,2017-05-06 11:00:00,2017-05-07 11:00:00,2017-05-11 11:00:00,2017-05-26 11:00:00
a583b105,1f9225ec,delivered,2017-02-26 12:00:00,2017-02-26 14:00:00,2017-02-28 12:00:00,2017-03-08 12:00:00,2017-03-20 12:00:00
8962abc7,b2c56342,delivered,2017-01-10 04:00:00,2017-01-10 06:00:00,2017-01-12 04:00:00,2017-01-19 04:00:00,2017-01-29 04:00:00
dbb93357,9d79dd04,delivered,2017-03-29 06:00:00,2017-03-29 06:00:00,2017-03-30 06:00:00,2017-04-04 06:00:00,2017-04-12 06:00:00
069a859d,964371b5,delivered,2017-08-30 05:00:00,2017-08-30 09:00:00,2017-08-31 05:00:00,2017-09-13 05:00:00,2017-09-18 05:00:00
ca98f587,82ff5cfd,delivered,2018-02-19 15:00:00,2018-02-19 18:00:00,2018-02-20 15:00:00,2018-03-05 15:00:00,2018-03-01 15:00:00
29595742,28e35fec,delivered,2018-03-16 17:00:00,2018-03-16 20:00:00,2018-03-17 17:00:00,2018-03-22 17:00:00,2018-04-09 17:00:00
37acd485,43635664,delivered,2017-06-27 19:00:00,2017-06-27 20:00:00,2017-06-29 19:00:00,2017-06-30 19:00:00,2017-07-21 19:00:00
3a7b3505,7a8863ad,delivered,2017-05-11 14:00:00,2017-05-11 16:00:00,2017-05-13 14:00:00,2017-05-24 14:00:00,2017-05-28 14:00:00
12612168,7f404593,delivered,2018-03-31 05:00:00,2018-03-31 08:00:00,2018-04-02 05:00:00,2018-04-03 05:00:00,2018-04-12 05:00:00
5fa74aea,0915a498,delivered,2017-07-31 22:00:00,2017-07-31 23:00:00,2017-08-01 22:00:00,2017-08-13 22:00:00,2017-08-22 22:00:00
b274794b,32653e0b,delivered,2017-05-27 21:00:00,2017-05-27 22:00:00,2017-05-28 21:00:00,2017-06-07 21:00:00,2017-06-16 21:00:00
21c5fd8f,7a91d550,delivered,2018-06-18 17:00:00,2018-06-18 19:00:00,2018-06-20 17:00:00,2018-06-24 17:00:00,2018-07-01 17:00:00
3b483a41,a66f7bfd,delivered,2017-02-24 01:00:00,2017-02-24 02:00:00,2017-02-25 01:00:00,2017-03-07 01:00:00,2017-03-18 01:00:00
bb608886,d44aed65,delivered,2017-07-09 01:00:00,2017-07-09 02:00:00,2017-07-10 01:00:00,2017-07-19 01:00:00,2017-07-25 01:00:00
a8514833,80543114,delivered,2017-12-06 20:00:00,2017-12-06 23:00:00,2017-12-08 20:00:00,2017-12-20 20:00:00,2017-12-26 20:00:00
16bdec90,0b07aa27,delivered,2017-11-21 01:00:00,2017-11-21 03:00:00,2017-11-22 01:00:00,2017-11-30 01:00:00,2017-12-14 01:00:00
4cd1481c,7c2ade15,delivered,2018-03-11 09:00:00,2018-03-11 13:00:00,2018-03-12 09:00:00,2018-03-18 09:00:00,2018-03-29 09:00:00
ecd13118,f4cc142a,delivered,2017-03-19 22:00:00,2017-03-20 01:00:00,2017-03-20 22:00:00,2017-03-23 22:00:00,2017-04-02 22:00:00
c1948836,9377d242,delivered,2017-11-13 14:00:00,2017-11-13 18:00:00,2017-11-15 14:00:00,2017-11-26 14:00:00,2017-11-27 14:00:00
9f938177,58b6644a,delivered,2017-04-29 20:00:00,2017-04-30 00:00:00,2017-04-30 20:00:00,2017-05-08 20:00:00,2017-05-17 20:00:00
3b9b0ad9,7da50286,delivered,2017-11-26 15:00:00,2017-11-26 19:00:00,2017-11-28 15:00:00,2017-12-02 15:00:00,2017-12-10 15:00:00
7d26e5c5,9e95f420,delivered,2017-12-01 19:00:00,2017-12-01 22:00:00,2017-12-03 19:00:00,2017-12-10 19:00:00,2017-12-21 19:00:00
3f5d107c,e85d78b7,delivered,2017-12-16 04:00:00,2017-12-16 07:00:00,2017-12-17 04:00:00,2017-12-23 04:00:00,2018-01-03 04:00:00
c3446e04,e38a0fd3,delivered,2018-02-09 18:00:00,2018-02-09 19:00:00,2018-02-10 18:00:00,2018-02-15 18:00:00,2018-03-05 18:00:00
6d4cb94e,3b4480f7,delivered,2018-01-16 10:00:00,2018-01-16 14:00:00,2018-01-17 10:00:00,2018-01-21 10:00:00,2018-01-27 10:00:00
00633816,8031d5c4,delivered,2018-01-22 02:00:00,2018-01-22 06:00:00,2018-01-23 02:00:00,2018-01-28 02:00:00,2018-02-14 02:00:00
55bef913,bef7d0f2,delivered,2018-02-26 13:00:00,2018-02-26 15:00:00,2018-02-28 13:00:00,2018-03-11 13:00:00,2018-03-08 13:00:00
88d3e96c,441ec578,delivered,2017-04-05 08:00:00,2017-04-05 09:00:00,2017-04-06 08:00:00,2017-04-18 08:00:00,2017-04-22 08:00:00
2675bf0f,14f6c1e0,delivered,2017-06-28 04:00:00,2017-06-28 06:00:00,2017-06-29 04:00:00,2017-07-12 04:00:00,2017-07-11 04:00:00
c423da30,2a811d02,delivered,2017-04-06 04:00:00,2017-04-06 08:00:00,2017-04-07 04:00:00,2017-04-16 04:00:00,2017-04-18 04:00:00
ead86d2d,77719698,delivered,2018-08-07 18:00:00,2018-08-07 19:00:00,2018-08-08 18:00:00,2018-08-19 18:00:00,2018-08-18 18:00:00
11f5f248,d0b05466,delivered,2018-06-03 15:00:00,2018-06-03 15:00:00,2018-06-05 15:00:00,2018-06-12 15:00:00,2018-06-20 15:00:00
bc3ecc1e,f2d5f504,delivered,2017-01-03 05:00:00,2017-01-03 07:00:00,2017-01-04 05:00:00,2017-01-09 05:00:00,2017-01-22 05:00:00
e49874be,5749440f,delivered,2017-05-22 21:00:00,2017-05-22 21:00:00,2017-05-24 21:00:00,2017-06-04 21:00:00,2017-06-03 21:00:00
40bfbaa9,18992c96,delivered,2018-02-17 07:00:00,2018-02-17 07:00:00,2018-02-19 07:00:00,2018-02-23 07:00:00,2018-03-03 07:00:00
0c2e3fcc,4a9f66e1,delivered,2017-09-22 19:00:00,2017-09-22 19:00:00,2017-09-24 19:00:00,2017-09-28 19:00:00,2017-10-11 19:00:00
84f4d63d,faca94d4,delivered,2018-05-28 04:00:00,2018-05-28 05:00:00,2018-05-29 04:00:00,2018-06-05 04:00:00,2018-06-09 04:00:00
17ef4972,e1649157,delivered,2018-02-01 19:00:00,2018-02-01 20:00:00,2018-02-02 19:00:00,2018-02-15 19:00:00,2018-02-15 19:00:00
6055ec00,cf2d6276,delivered,2017-08-04 06:00:00,2017-08-04 07:00:00,2017-08-06 06:00:00,2017-08-15 06:00:00,2017-08-23 06:00:00
6ad93a30,f3d42a4f,delivered,2018-06-10 16:00:00,2018-06-10 17:00:00,2018-06-11 16:00:00,2018-06-17 16:00:00,2018-06-27 16:00:00
d895f979,9cc498ef,delivered,2018-03-24 07:00:00,2018-03-24 11:00:00,2018-03-25 07:00:00,2018-04-07 07:00:00,2018-04-11 07:00:00
bf62fa24,fe0ec296,delivered,2017-11-04 17:00:00,2017-11-04 18:00:00,2017-11-05 17:00:00,2017-11-09 17:00:00,2017-11-22 17:00:00
bcbfbca8,307752ef,delivered,2017-11-04 01:00:00,2017-11-04 03:00:00,2017-11-05 01:00:00,2017-11-13 01:00:00,2017-11-21 01:00:00
e0953f95,9d1914bf,delivered,2017-05-30 19:00:00,2017-05-30 20:00:00,2017-06-01 19:00:00,2017-06-12 19:00:00,2017-06-09 19:00:00
6f934745,9096416c,delivered,2017-01-31 20:00:00,2017-01-31 23:00:00,2017-02-02 20:00:00,2017-02-08 20:00:00,2017-02-18 20:00:00
c70ebe51,bc2e5ce4,delivered,2018-06-08 02:00:00,2018-06-08 03:00:00,2018-06-10 02:00:00,2018-06-18 02:00:00,2018-06-22 02:00:00
07c6b1e0,11f96610,delivered,2017-06-12 15:00:00,2017-06-12 18:00:00,2017-06-14 15:00:00,2017-06-20 15:00:00,2017-07-06 15:00:00
9c8fbcb3,e54fe855,delivered,2017-02-01 21:00:00,2017-02-02 00:00:00,2017-02-03 21:00:00,2017-02-15 21:00:00,2017-02-22 21:00:00
a83c85b4,d430f575,delivered,2017-09-06 08:00:00,2017-09-06 12:00:00,2017-09-08 08:00:00,2017-09-17 08:00:00,2017-09-30 08:00:00
6c69317d,04125765,delivered,2018-08-07 18:00:00,2018-08-07 18:00:00,2018-08-09 18:00:00,2018-08-20 18:00:00,2018-08-26 18:00:00
3992af2a,2dac2baf,delivered,2017-09-11 17:00:00,2017-09-11 19:00:00,2017-09-12 17:00:00,2017-09-24 17:00:00,2017-09-22 17:00:00
e66a3b97,aa8ea2e1,delivered,2018-07-30 05:00:00,2018-07-30 09:00:00,2018-08-01 05:00:00,2018-08-08 05:00:00,2018-08-18 05:00:00
7dc97883,de1ffdf2,delivered,2017-03-22 18:00:00,2017-03-22 19:00:00,2017-03-24 18:00:00,2017-04-05 18:00:00,2017-04-15 18:00:00
db69d99b,a81bb4d0,delivered,2017-01-25 08:00:00,2017-01-25 10:00:00,2017-01-26 08:00:00,2017-02-08 08:00:00,2017-02-12 08:00:00
02b6572c,551ebacc,delivered,2017-11-18 23:00:00,2017-11-19 00:00:00,2017-11-19 23:00:00,2017-11-23 23:00:00,2017-12-04 23:00:00
f8e09b7f,637c5dd2,delivered,2017-11-18 18:00:00,2017-11-18 22:00:00,2017-11-19 18:00:00,2017-11-28 18:00:00,2017-12-02 18:00:00
be235429,0cd44350,delivered,2017-09-20 05:00:00,2017-09-20 06:00:00,2017-09-22 05:00:00,2017-09-23 05:00:00,2017-10-09 05:00:00
7ec0bdba,e9bcfb41,delivered,2017-07-19 07:00:00,2017-07-19 07:00:00,2017-07-20 07:00:00,2017-07-27 07:00:00,2017-08-01 07:00:00
85716547,c5a055f0,delivered,2017-12-19 19:00:00,2017-12-19 19:00:00,2017-12-20 19:00:00,2017-12-26 19:00:00,2018-01-02 19:00:00
d29eb5a0,ffe25f08,delivered,2017-11-04 13:00:00,2017-11-04 13:00:00,2017-11-05 13:00:00,2017-11-14 13:00:00,2017-11-15 13:00:00
461da752,ff2ea679,delivered,2017-06-14 04:00:00,2017-06-14 06:00:00,2017-06-16 04:00:00,2017-06-28 04:00:00,2017-06-27 04:00:00
50e98cbd,8f8bf074,delivered,2017-02-21 00:00:00,2017-02-21 00:00:00,2017-02-22 00:00:00,2017-02-25 00:00:00,2017-03-13 00:00:00
7ae98908,f859d750,delivered,2017-01-03 21:00:00,2017-01-03 22:00:00,2017-01-05 21:00:00,2017-01-16 21:00:00,2017-01-25 21:00:00
785ec925,863ddf89,delivered,2017-08-22 04:00:00,2017-08-22 05:00:00,2017-08-24 04:00:00,2017-08-31 04:00:00,2017-09-05 04:00:00
5d2f0a76,1e94e69b,delivered,2017-10-30 20:00:00,2017-10-30 20:00:00,2017-10-31 20:00:00,2017-11-05 20:00:00,2017-11-13 20:00:00
ddbd513a,b5f31c68,delivered,2018-06-13 18:00:00,2018-06-13 21:00:00,2018-06-15 18:00:00,2018-06-26 18:00:00,2018-06-25 18:00:00
225e800e,9d50fc81,delivered,2017-09-19 12:00:00,2017-09-19 12:00:00,2017-09-20 12:00:00,2017-09-26 12:00:00,2017-10-04 12:00:00
4bf2ac1b,5dcd64e7,delivered,2018-02-01 10:00:00,2018-02-01 10:00:00,2018-02-02 10:00:00,2018-02-07 10:00:00,2018-02-13 10:00:00
0a650b06,504e1ee2,delivered,2018-06-13 12:00:00,2018-06-13 14:00:00,2018-06-15 12:00:00,2018-06-25 12:00:00,2018-06-30 12:00:00
630789dc,fb1aadcb,delivered,2017-01-29 05:00:00,2017-01-29 09:00:00,2017-01-31 05:00:00,2017-02-11 05:00:00,2017-02-13 05:00:00
e9c5ba72,7c344d36,delivered,2018-06-27 03:00:00,2018-06-27 07:00:00,2018-06-29 03:00:00,2018-07-04 03:00:00,2018-07-09 03:00:00
d467f54b,e3d4415c,delivered,2017-07-26 19:00:00,2017-07-26 19:00:00,2017-07-28 19:00:00,2017-08-08 19:00:00,2017-08-14 19:00:00
163a72c7,13edfa96,delivered,2018-07-07 14:00:00,2018-07-07 17:00:00,2018-07-09 14:00:00,2018-07-19 14:00:00,2018-07-22 14:00:00
5637c4d6,fa97b160,delivered,2017-05-31 11:00:00,2017-05-31 14:00:00,2017-06-02 11:00:00,2017-06-08 11:00:00,2017-06-22 11:00:00
10ce794a,73d45dc8,delivered,2017-03-08 02:00:00,2017-03-08 05:00:00,2017-03-10 02:00:00,2017-03-21 02:00:00,2017-03-20 02:00:00
3bbe01fc,89fe7b22,delivered,2017-03-15 16:00:00,2017-03-15 18:00:00,2017-03-17 16:00:00,2017-03-26 16:00:00,2017-03-28 16:00:00
ccb2eddc,8b4ec101,shipped,2017-03-13 16:00:00,2017-03-13 17:00:00,2017-03-15 16:00:00,,2017-03-29 16:00:00
ce252eac,ec5b442e,delivered,2017-01-30 00:00:00,2017-01-30 02:00:00,2017-01-31 00:00:00,2017-02-08 00:00:00,2017-02-20 00:00:00
6069e541,9b9ac85c,delivered,2018-07-29 05:00:00,2018-07-29 07:00:00,2018-07-30 05:00:00,2018-08-07 05:00:00,2018-08-18 05:00:00
1990de14,3c83b6bf,delivered,2018-05-18 17:00:00,2018-05-18 18:00:00,2018-05-19 17:00:00,2018-05-28 17:00:00,2018-06-09 17:00:00
a06a0c03,21808e40,delivered,2018-04-20 07:00:00,2018-04-20 09:00:00,2018-04-21 07:00:00,2018-04-30 07:00:00,2018-05-04 07:00:00
fb2be872,4e0f82bc,delivered,2017-01-31 22:00:00,2017-01-31 22:00:00,2017-02-02 22:00:00,2017-02-13 22:00:00,2017-02-18 22:00:00
229a4fc3,a9ff11be,delivered,2018-04-21 11:00:00,2018-04-21 14:00:00,2018-04-22 11:00:00,2018-04-28 11:00:00,2018-05-01 11:00:00
85ecadbe,1444b0b6,delivered,2017-02-03 17:00:00,2017-02-03 17:00:00,2017-02-04 17:00:00,2017-02-13 17:00:00,2017-02-14 17:00:00
184ba3c9,5aba7a13,delivered,2017-01-28 08:00:00,2017-01-28 08:00:00,2017-01-29 08:00:00,2017-02-09 08:00:00,2017-02-21 08:00:00
38141b48,bc90bd2f,delivered,2018-03-26 23:00:00,2018-03-27 00:00:00,2018-03-27 23:00:00,2018-03-29 23:00:00,2018-04-15 23:00:00
cadf3b7b,9dfb0c83,delivered,2018-02-16 05:00:00,2018-02-16 06:00:00,2018-02-17 05:00:00,2018-03-01 05:00:00,2018-02-27 05:00:00
2c6cd84b,fd6ee0ca,delivered,2018-01-15 02:00:00,2018-01-15 03:00:00,2018-01-17 02:00:00,2018-01-27 02:00:00,2018-01-29 02:00:00
cdea5899,797fddb5,delivered,2018-01-24 23:00:00,2018-01-25 02:00:00,2018-01-25 23:00:00,2018-02-05 23:00:00,2018-02-10 23:00:00
e75fc2cf,839381ba,delivered,2018-01-03 11:00:00,2018-01-03 12:00:00,2018-01-04 11:00:00,2018-01-15 11:00:00,2018-01-21 11:00:00
2e242fd1,04fefce6,delivered,2017-08-07 18:00:00,2017-08-07 22:00:00,2017-08-09 18:00:00,2017-08-15 18:00:00,2017-08-31 18:00:00
a5c216c6,d40e7286,delivered,2017-05-13 13:00:00,2017-05-13 15:00:00,2017-05-15 13:00:00,2017-05-22 13:00:00,2017-06-03 13:00:00
c0e1c035,8d29719e,delivered,2017-02-16 19:00:00,2017-02-16 22:00:00,2017-02-18 19:00:00,2017-02-27 19:00:00,2017-03-11 19:00:00
f026b749,124bb079,delivered,2017-12-08 23:00:00,2017-12-09 03:00:00,2017-12-10 23:00:00,2017-12-16 23:00:00,2017-12-29 23:00:00
51c2092e,71fb2f1e,delivered,2017-07-04 14:00:00,2017-07-04 17:00:00,2017-07-05 14:00:00,2017-07-15 14:00:00,2017-07-19 14:00:00
19e91f98,ed34964d,delivered,2017-02-20 20:00:00,2017-02-20 23:00:00,2017-02-22 20:00:00,2017-03-02 20:00:00,2017-03-12 20:00:00
99df00dc,3976a181,delivered,2017-08-18 20:00:00,2017-08-18 21:00:00,2017-08-19 20:00:00,2017-08-21 20:00:00,2017-09-07 20:00:00
dd4488a7,bd7d0b96,delivered,2018-03-16 16:00:00,2018-03-16 20:00:00,2018-03-18 16:00:00,2018-03-22 16:00:00,2018-03-31 16:00:00
466c5aaa,2a4d33de,delivered,2018-06-12 04:00:00,2018-06-12 06:00:00,2018-06-14 04:00:00,2018-06-16 04:00:00,2018-06-28 04:00:00
da773d49,b107a072,delivered,2018-05-02 14:00:00,2018-05-02 17:00:00,2018-05-03 14:00:00,2018-05-13 14:00:00,2018-05-17 14:00:00
913f097a,cff9d421,delivered,2017-06-22 05:00:00,2017-06-22 07:00:00,2017-06-23 05:00:00,2017-06-29 05:00:00,2017-07-10 05:00:00
665ba7b1,01094911,delivered,2017-01-20 22:00:00,2017-01-21 01:00:00,2017-01-22 22:00:00,2017-01-30 22:00:00,2017-02-12 22:00:00
e999cb90,4cafc933,delivered,2018-03-17 14:00:00,2018-03-17 16:00:00,2018-03-19 14:00:00,2018-03-22 14:00:00,2018-04-05 14:00:00
acd789ac,b033338e,delivered,2017-01-14 02:00:00,2017-01-14 03:00:00,2017-01-16 02:00:00,2017-01-17 02:00:00,2017-01-25 02:00:00
65153112,20e32e06,canceled,2018-08-12 08:00:00,2018-08-12 11:00:00,2018-08-14 08:00:00,,2018-08-23 08:00:00
0cadf6db,a376f9de,delivered,2017-07-21 23:00:00,2017-07-22 01:00:00,2017-07-22 23:00:00,2017-08-02 23:00:00,2017-08-05 23:00:00
4940dc6e,2c1576b7,invoiced,2018-04-18 09:00:00,2018-04-18 13:00:00,2018-04-19 09:00:00,,2018-05-06 09:00:00
f8fa893d,e64d7aea,delivered,2018-05-31 12:00:00,2018-05-31 14:00:00,2018-06-01 12:00:00,2018-06-11 12:00:00,2018-06-18 12:00:00
be065309,f1bc5de0,canceled,2017-03-27 19:00:00,2017-03-27 20:00:00,2017-03-29 19:00:00,,2017-04-19 19:00:00
da4d6145,32077e44,delivered,2017-04-17 06:00:00,2017-04-17 08:00:00,2017-04-19 06:00:00,2017-04-21 06:00:00,2017-05-07 06:00:00
1943726a,548cd922,delivered,2017-03-23 01:00:00,2017-03-23 01:00:00,2017-03-25 01:00:00,2017-04-01 01:00:00,2017-04-11 01:00:00
cf8f353c,4fa5aeb5,delivered,2017-08-19 16:00:00,2017-08-19 20:00:00,2017-08-21 16:00:00,2017-08-28 16:00:00,2017-08-29 16:00:00
2e763c6e,ceff27e6,delivered,2017-05-26 00:00:00,2017-05-26 04:00:00,2017-05-28 00:00:00,2017-06-08 00:00:00,2017-06-08 00:00:00
8bd9e8f5,4bc270e2,delivered,2018-03-23 00:00:00,2018-03-23 04:00:00,2018-03-25 00:00:00,2018-03-27 00:00:00,2018-04-07 00:00:00
767c20eb,75970ec3,invoiced,2018-07-27 07:00:00,2018-07-27 08:00:00,2018-07-28 07:00:00,,2018-08-11 07:00:00
65077d77,6560542f,delivered,2017-12-30 14:00:00,2017-12-30 14:00:00,2018-01-01 14:00:00,2018-01-12 14:00:00,2018-01-12 14:00:00
83519059,c181c1bc,delivered,2017-07-10 12:00:00,2017-07-10 13:00:00,2017-07-11 12:00:00,2017-07-21 12:00:00,2017-07-29 12:00:00
e296e4b8,e4704ea6,delivered,2017-05-14 10:00:00,2017-05-14 10:00:00,2017-05-16 10:00:00,2017-05-24 10:00:00,2017-06-05 10:00:00
117045b3,04a4825f,delivered,2018-05-20 16:00:00,2018-05-20 20:00:00,2018-05-21 16:00:00,2018-06-03 16:00:00,2018-05-31 16:00:00
0d46e3e0,eefcfba9,delivered,2017-10-30 01:00:00,2017-10-30 04:00:00,2017-10-31 01:00:00,2017-11-04 01:00:00,2017-11-22 01:00:00
0c6ba244,9a7e7757,delivered,2017-09-07 18:00:00,2017-09-07 19:00:00,2017-09-08 18:00:00,2017-09-20 18:00:00,2017-09-30 18:00:00
877d5968,d2036d43,delivered,2018-02-11 13:00:00,2018-02-11 17:00:00,2018-02-12 13:00:00,2018-02-24 13:00:00,2018-03-04 13:00:00
